TFCNN-fpr,TFCNN-tpr,TCNN-fpr,TCNN-tpr,FCNN-fpr,FCNN-tpr,DT-fpr,DT-tpr,XG-fpr,XG-tpr,RF-fpr,RF-tpr,SVM-fpr,SVM-tpr,MLP-fpr,MLP-tpr
0.00565117,0.956408,0.00333933,0.594635,0.00590804,0.700075,,,0.00462368,0.515276,0,0.214978,0.00565117,0.385991,0.00565117,0.398659
0.00590804,0.956408,0.00333933,0.59538,0.00616491,0.700447,,,0.00462368,0.519374,0,0.216095,0.00565117,0.387854,0.00565117,0.399031
0.00590804,0.959389,0.00333933,0.59687,0.00616491,0.701937,,,0.00488055,0.519374,0,0.217958,0.00590804,0.387854,0.00590804,0.399031
0.00616491,0.959389,0.0035962,0.59687,0.00616491,0.702683,,,0.00488055,0.521237,0,0.22392,0.00590804,0.392697,0.00590804,0.416542
0.00616491,0.960507,0.0035962,0.597243,0.00616491,0.7038,,,0.00513743,0.521237,0,0.226155,0.00616491,0.392697,0.00616491,0.416542
0.00667865,0.960507,0.0035962,0.597988,0.00667865,0.704173,,,0.00513743,0.522355,0,0.226528,0.00616491,0.397168,0.00616491,0.418405
0.00667865,0.96237,0.00385307,0.598733,0.00667865,0.704918,,,0.0053943,0.522355,0,0.228018,0.00642178,0.397168,0.00642178,0.418405
0.00693553,0.96237,0.00385307,0.600224,0.00667865,0.705291,,,0.0053943,0.526453,0,0.230253,0.00642178,0.400894,0.00642178,0.420268
0.00693553,0.962742,0.00385307,0.602832,0.00667865,0.706408,,,0.00565117,0.526453,0,0.231744,0.00667865,0.400894,0.00667865,0.420268
0.0071924,0.962742,0.00410994,0.602832,0.00667865,0.707154,,,0.00565117,0.531669,0,0.233607,0.00667865,0.410581,0.00667865,0.420641
0.0071924,0.96386,0.00410994,0.603577,0.00667865,0.707899,,,0.00616491,0.531669,0,0.235842,0.00693553,0.410581,0.00693553,0.420641
0.00744927,0.96386,0.00410994,0.605067,0.00667865,0.708644,,,0.00616491,0.532042,0,0.236587,0.00693553,0.419896,0.00693553,0.422504
0.00744927,0.965723,0.00410994,0.605812,0.00667865,0.709762,,,0.00642178,0.532042,0,0.238823,0.00744927,0.419896,0.0071924,0.422504
0.00770614,0.965723,0.00410994,0.606557,0.00667865,0.710134,,,0.00642178,0.536513,0,0.240313,0.00744927,0.421013,0.0071924,0.423249
0.00770614,0.966841,0.00410994,0.607303,0.00693553,0.710134,,,0.00667865,0.536513,0,0.242176,0.00770614,0.421013,0.00744927,0.423249
0.00821988,0.966841,0.00410994,0.611028,0.00693553,0.710879,,,0.00667865,0.537258,0,0.243294,0.00770614,0.425484,0.00744927,0.442623
0.00821988,0.967586,0.00436681,0.611028,0.00693553,0.711252,,,0.00693553,0.537258,0,0.244784,0.00796301,0.425484,0.00770614,0.442623
0.00847675,0.967586,0.00436681,0.612519,0.0071924,0.711624,,,0.00693553,0.542474,0,0.245902,0.00796301,0.432563,0.00770614,0.443368
0.00847675,0.967958,0.00436681,0.613636,0.0071924,0.711997,,,0.0071924,0.542474,0,0.248882,0.00821988,0.432563,0.00796301,0.443368
0.0089905,0.967958,0.00436681,0.614009,0.0071924,0.712742,,,0.0071924,0.54918,0,0.249255,0.00821988,0.444113,0.00796301,0.443741
0.0089905,0.969449,0.00436681,0.615127,0.0071924,0.71386,,,0.00744927,0.54918,0,0.25,0.00847675,0.444113,0.00821988,0.443741
0.010018,0.969449,0.00436681,0.615499,0.0071924,0.714605,,,0.00744927,0.550671,0,0.252235,0.00847675,0.444486,0.00821988,0.448584
0.010018,0.969821,0.00462368,0.615499,0.0071924,0.714978,,,0.00770614,0.550671,0,0.254471,0.00873362,0.444486,0.00847675,0.448584
0.0105317,0.969821,0.00462368,0.618852,0.0071924,0.716095,,,0.00770614,0.552906,0,0.258197,0.00873362,0.444858,0.00847675,0.448957
0.0105317,0.970194,0.00488055,0.618852,0.00744927,0.716468,,,0.00796301,0.552906,0,0.260805,0.00950424,0.444858,0.00873362,0.448957
0.0110455,0.970194,0.00488055,0.61997,0.00744927,0.716841,,,0.00796301,0.558867,0,0.263785,0.00950424,0.447094,0.00873362,0.450075
0.0110455,0.972057,0.00488055,0.620715,0.00744927,0.717586,,,0.00821988,0.558867,0,0.264531,0.00976111,0.447094,0.0089905,0.450075
0.0113023,0.972057,0.00488055,0.631148,0.00744927,0.717958,,,0.00821988,0.561103,0,0.264903,0.00976111,0.455663,0.0089905,0.450447
0.0113023,0.972429,0.00488055,0.631893,0.00770614,0.718331,,,0.00847675,0.561103,0,0.266393,0.010018,0.455663,0.00924737,0.450447
0.0115592,0.972429,0.00513743,0.631893,0.00770614,0.718703,,,0.00847675,0.561848,0,0.267139,0.010018,0.456036,0.00924737,0.45082
0.0115592,0.974665,0.00513743,0.635991,0.00796301,0.719821,,,0.00873362,0.561848,0,0.267511,0.0102749,0.456036,0.00950424,0.45082
0.0118161,0.974665,0.0053943,0.635991,0.00796301,0.720194,,,0.00873362,0.562593,0,0.268629,0.0102749,0.461997,0.00950424,0.453428
0.0118161,0.975037,0.0053943,0.641207,0.00821988,0.720566,,,0.0089905,0.562593,0,0.270119,0.0105317,0.461997,0.00976111,0.453428
0.0123298,0.975037,0.00565117,0.641207,0.00821988,0.722057,,,0.0089905,0.563338,0,0.270492,0.0105317,0.470194,0.00976111,0.455663
0.0123298,0.976528,0.00565117,0.643815,0.00847675,0.722057,,,0.00924737,0.563338,0,0.272355,0.0107886,0.470194,0.010018,0.455663
0.0131004,0.976528,0.00616491,0.643815,0.00847675,0.724292,,,0.00924737,0.564829,0,0.27459,0.0107886,0.479508,0.010018,0.456036
0.0131004,0.977645,0.00616491,0.647168,0.00873362,0.724292,,,0.00950424,0.564829,0,0.275708,0.0113023,0.479508,0.0102749,0.456036
0.0138711,0.977645,0.00642178,0.647168,0.00873362,0.72541,,,0.00950424,0.565574,0,0.277571,0.0113023,0.482116,0.0102749,0.457526
0.0138711,0.978018,0.00642178,0.654247,0.00873362,0.726155,,,0.00976111,0.565574,0,0.279806,0.0115592,0.482116,0.0105317,0.457526
0.0141279,0.978018,0.00642178,0.654993,0.00873362,0.727273,,,0.00976111,0.566692,0.000256871,0.282042,0.0115592,0.484724,0.0105317,0.459762
0.0141279,0.97839,0.00667865,0.654993,0.0089905,0.727273,,,0.010018,0.566692,0.000256871,0.283905,0.0118161,0.484724,0.0107886,0.459762
0.0146417,0.97839,0.00667865,0.65611,0.0089905,0.72839,,,0.010018,0.570417,0.000256871,0.285395,0.0118161,0.486587,0.0107886,0.460134
0.0146417,0.978763,0.00693553,0.65611,0.00924737,0.72839,,,0.0102749,0.570417,0.000256871,0.28763,0.0123298,0.486587,0.0110455,0.460134
0.0151554,0.978763,0.00693553,0.657601,0.00924737,0.729136,,,0.0102749,0.573398,0.000256871,0.288376,0.0123298,0.48845,0.0110455,0.462742
0.0151554,0.979136,0.0071924,0.657601,0.00924737,0.730626,,,0.0105317,0.573398,0.000256871,0.289866,0.0125867,0.48845,0.0118161,0.462742
0.0154123,0.979136,0.0071924,0.658718,0.00950424,0.730626,,,0.0105317,0.575261,0.000256871,0.291729,0.0125867,0.490686,0.0118161,0.463115
0.0154123,0.979508,0.00744927,0.658718,0.00950424,0.732116,,,0.0107886,0.575261,0.000256871,0.293964,0.0131004,0.490686,0.0123298,0.463115
0.015926,0.979508,0.00744927,0.659091,0.00950424,0.732861,,,0.0107886,0.575633,0.000256871,0.296572,0.0131004,0.492176,0.0123298,0.463487
0.015926,0.979881,0.00770614,0.659091,0.00950424,0.733607,,,0.0110455,0.575633,0.000256871,0.298063,0.0133573,0.492176,0.0128436,0.463487
0.0164398,0.979881,0.00770614,0.660581,0.00950424,0.735469,,,0.0110455,0.576006,0.000256871,0.29918,0.0133573,0.494039,0.0128436,0.464232
0.0164398,0.980253,0.00796301,0.660581,0.00950424,0.736215,,,0.0113023,0.576006,0.000256871,0.301416,0.0136142,0.494039,0.0131004,0.464232
0.0182379,0.980253,0.00796301,0.661326,0.00950424,0.736587,,,0.0113023,0.581222,0.000256871,0.303651,0.0136142,0.5,0.0131004,0.467213
0.0182379,0.980626,0.00821988,0.661326,0.00976111,0.73696,,,0.0115592,0.581222,0.000256871,0.305142,0.0138711,0.5,0.0133573,0.467213
0.0184947,0.980626,0.00821988,0.663562,0.00976111,0.737705,,,0.0115592,0.584575,0.000256871,0.307004,0.0138711,0.505589,0.0133573,0.468703
0.0184947,0.982116,0.00847675,0.663562,0.010018,0.73845,,,0.012073,0.584575,0.000256871,0.309613,0.0141279,0.505589,0.0136142,0.468703
0.0187516,0.982116,0.00847675,0.671013,0.010018,0.739195,,,0.012073,0.58532,0.000256871,0.31073,0.0141279,0.508197,0.0136142,0.469076
0.0187516,0.982489,0.0089905,0.671013,0.0102749,0.739195,,,0.0123298,0.58532,0.000256871,0.311475,0.0143848,0.508197,0.0138711,0.469076
0.020036,0.982489,0.0089905,0.673621,0.0102749,0.741803,,,0.0123298,0.590909,0.000256871,0.312593,0.0143848,0.51155,0.0138711,0.470194
0.020036,0.982861,0.00924737,0.673621,0.0105317,0.741803,,,0.0125867,0.590909,0.000256871,0.314456,0.0148985,0.51155,0.0141279,0.470194
0.0210634,0.982861,0.00924737,0.67921,0.0105317,0.742176,,,0.0125867,0.59389,0.000256871,0.316692,0.0148985,0.515276,0.0141279,0.472429
0.0210634,0.983607,0.00950424,0.67921,0.0107886,0.742176,,,0.0128436,0.59389,0.000513743,0.318182,0.0154123,0.515276,0.0146417,0.472429
0.0213203,0.983607,0.00950424,0.681818,0.0107886,0.744411,,,0.0128436,0.595753,0.000513743,0.32079,0.0154123,0.515648,0.0146417,0.473547
0.0213203,0.983979,0.00976111,0.681818,0.0110455,0.744411,,,0.0131004,0.595753,0.000513743,0.323025,0.0156691,0.515648,0.0148985,0.473547
